<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20141211,0,56.5245
USDRUB,D,20141212,0,58.16
USDRUB,D,20141213,0,58.0945
USDRUB,D,20141215,0,65.897
USDRUB,D,20141216,0,68.322
USDRUB,D,20141217,0,61.045
USDRUB,D,20141218,0,61.835
USDRUB,D,20141219,0,60.595
USDRUB,D,20141220,0,59.4202
USDRUB,D,20141221,0,57.8946
USDRUB,D,20141222,0,55.362
USDRUB,D,20141223,0,54.635
USDRUB,D,20141224,0,53.4665
USDRUB,D,20141225,0,51.6418
USDRUB,D,20141226,0,53.5897
USDRUB,D,20141227,0,53.8066
USDRUB,D,20141228,0,53.9457
USDRUB,D,20141229,0,57.4641
USDRUB,D,20141230,0,56.245
USDRUB,D,20141231,0,59.2332
USDRUB,D,20150101,0,56.993
USDRUB,D,20150102,0,58.53
USDRUB,D,20150103,0,58.8179
USDRUB,D,20150105,0,60.1817
USDRUB,D,20150106,0,62.3742
USDRUB,D,20150107,0,62.0547
USDRUB,D,20150108,0,59.1579
USDRUB,D,20150109,0,61.1993
USDRUB,D,20150110,0,61.67
USDRUB,D,20150111,0,61
USDRUB,D,20150112,0,62.875
USDRUB,D,20150113,0,65.235
USDRUB,D,20150114,0,64.23
USDRUB,D,20150115,0,64.956
USDRUB,D,20150116,0,65.141
USDRUB,D,20150117,0,65.1621
USDRUB,D,20150118,0,65.1207
USDRUB,D,20150119,0,64.9382
USDRUB,D,20150120,0,65.0071
USDRUB,D,20150121,0,65.1614
USDRUB,D,20150122,0,63.7105
USDRUB,D,20150123,0,63.845
USDRUB,D,20150124,0,63.9467
USDRUB,D,20150125,0,63.8608
USDRUB,D,20150126,0,68.0762
USDRUB,D,20150127,0,66.6364
USDRUB,D,20150128,0,67.4456
USDRUB,D,20150129,0,68.5961
USDRUB,D,20150130,0,68.7099
USDRUB,D,20150131,0,69.9877
USDRUB,D,20150202,0,68.1241
USDRUB,D,20150203,0,64.494
USDRUB,D,20150204,0,67.6082
USDRUB,D,20150205,0,66.1781
USDRUB,D,20150206,0,66.0246
USDRUB,D,20150207,0,66.9839
USDRUB,D,20150208,0,66.9778
USDRUB,D,20150209,0,65.75
USDRUB,D,20150210,0,64.963
USDRUB,D,20150211,0,65.0945
USDRUB,D,20150212,0,64.9622
USDRUB,D,20150213,0,63.1669
USDRUB,D,20150214,0,63.3344
USDRUB,D,20150215,0,63.67
USDRUB,D,20150216,0,61.8734
USDRUB,D,20150217,0,62.1241
USDRUB,D,20150218,0,61.2346
USDRUB,D,20150219,0,61.8488
USDRUB,D,20150220,0,61.6592
USDRUB,D,20150221,0,61.9703
USDRUB,D,20150222,0,61.9815
USDRUB,D,20150223,0,63.5841
USDRUB,D,20150224,0,62.7171
USDRUB,D,20150225,0,61.2391
USDRUB,D,20150226,0,60.9701
USDRUB,D,20150227,0,61.6407
USDRUB,D,20150228,0,61.5268
USDRUB,D,20150301,0,61.6494
USDRUB,D,20150302,0,62.5451
USDRUB,D,20150303,0,61.8446
USDRUB,D,20150304,0,61.833
USDRUB,D,20150305,0,60.8299
USDRUB,D,20150306,0,60.1589
USDRUB,D,20150307,0,60.3591
USDRUB,D,20150308,0,60.4079
USDRUB,D,20150309,0,60.1772
